"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1760,FALSE,FALSE,"Makian","Indonesia",1357,"Stratovolcano",4,2000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.32,127.4
1766,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1790,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",4,5405,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1803,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1813,TRUE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1825,FALSE,FALSE,"Shishaldin","United States",2857,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",54.75,-163.97
1869,FALSE,FALSE,"Lamongan","Indonesia",1651,"Stratovolcano",2,8,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8,113.342
1883,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
1900,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,25,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1914,FALSE,FALSE,"White Island","New Zealand",321,"Stratovolcano",NA,11,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-37.52,177.18
1928,TRUE,FALSE,"Paluweh","Indonesia",875,"Stratovolcano",3,98,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.32,121.708
1952,TRUE,FALSE,"Myojun Knoll","Japan",360,"Submarine volcano",2,31,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",32.1,139.85
1953,FALSE,FALSE,"Sirung","Indonesia",862,"Complex volcano",0,5,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-8.51,124.148
1963,FALSE,FALSE,"Villarrica","Chile",2847,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-39.42,-71.93
1976,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,29,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1977,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1980,TRUE,TRUE,"St. Helens","United States",2549,"Stratovolcano",5,57,"Some (~51 to 100)",NA,"None/No Record",2000,"EXTREME (~>=$25 million)",NA,"None/No Record",46.2,-122.18
1981,FALSE,FALSE,"Vilyuchik","Russia",2173,"Stratovolcano",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",52.68,158.3
1985,FALSE,FALSE,"Ruiz","Colombia",5321,"Stratovolcano",3,23080,"Very Many (~1001 or more)",10000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",4.895,-75.322
1990,FALSE,FALSE,"Shiveluch","Russia",3283,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",56.653,161.36
1990,FALSE,FALSE,"Santa Maria","Guatemala",3772,"Stratovolcano",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.756,-91.552
1995,FALSE,FALSE,"Yasur","Vanuatu",361,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-19.52,169.425
2006,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",1,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
2010,FALSE,FALSE,"Eyjafjallajokull","Iceland",1666,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.63,-19.62
2010,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-1.467,-78.442
2011,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
2015,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",3.17,98.392
2018,FALSE,TRUE,"Ambrym","Vanuatu",1334,"Pyroclastic shield",2,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Few (~1 to 50)",-16.25,168.12
2019,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",-4.1,145.061
-1370,FALSE,FALSE,"Pago","Papua New Guinea",742,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.58,150.52
710,FALSE,FALSE,"Pago","Papua New Guinea",742,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.58,150.52
1853,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,34,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Few (~1 to 50)",13.257,123.685
1872,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",4,200,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-7.542,110.442
1878,TRUE,FALSE,"Yasur","Vanuatu",361,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-19.52,169.425
1905,TRUE,FALSE,"Savai'i","Samoa",1858,"Shield volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-13.612,-172.525
1918,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1944,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1952,TRUE,FALSE,"Myojun Knoll","Japan",360,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.1,139.85
1955,FALSE,FALSE,"Carran-Los Venados","Chile",1114,"Pyroclastic cone",4,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-40.35,-72.07
1961,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,6,"Few (~1 to 50)",6,"Few (~1 to 50)",NA,"MODERATE (~$1 to $5 million)",NA,"Many (~101 to 1000)",-7.542,110.442
1975,FALSE,FALSE,"Arenal","Costa Rica",1657,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",10.463,-84.703
1980,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1981,FALSE,FALSE,"Paluweh","Indonesia",875,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",-8.32,121.708
1988,FALSE,FALSE,"Akita-Yake-yama","Japan",1366,"Complex volcano",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",39.97,140.77
1991,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-11.75,43.38
1994,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,60,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1995,FALSE,FALSE,"Yake-dake","Japan",2455,"Stratovolcano",1,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.22,137.58
2002,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",NA,NA,"None/No Record",NA,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",38.789,15.213
2003,TRUE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
2010,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-1.467,-78.442
2018,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",2,201,"Many (~101 to 1000)",27,"Few (~1 to 50)",120,"EXTREME (~>=$25 million)",186,"Many (~101 to 1000)",14.473,-90.88
-4350,FALSE,FALSE,"Kikai","Japan",717,"Caldera",7,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",30.78,130.28
934,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1250,FALSE,FALSE,"Fentale","Ethiopia",2007,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",8.975,39.93
1389,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1471,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",5,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1500,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
