"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
2019,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",3.17,98.392
-1550,FALSE,FALSE,"Redoubt","United States",3108,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",60.48,-152.75
-250,FALSE,FALSE,"Raoul Island","New Zealand",516,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-29.27,-177.92
1640,TRUE,TRUE,"Komaga-take","Japan",1140,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.07,140.68
1785,FALSE,FALSE,"Aoga-shima","Japan",423,"Stratovolcano",3,135,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.45,139.77
1812,FALSE,FALSE,"Awu","Indonesia",1320,"Stratovolcano",3,953,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",3.67,125.5
1853,FALSE,FALSE,"Niuafo'ou","Tonga",260,"Shield volcano",0,25,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-15.6,-175.63
1892,FALSE,FALSE,"Sorikmarapi","Indonesia",2145,"Stratovolcano",2,180,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.686,99.539
1917,FALSE,FALSE,"Calbuco","Chile",2003,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-41.326,-72.614
1938,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",1,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1941,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1943,FALSE,FALSE,"Michoacan-Guanajuato","Mexico",3860,"Cinder cone",4,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.48,-102.25
1944,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",2,117,"Many (~101 to 1000)",250,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1953,FALSE,FALSE,"Oshima","Japan",758,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",34.73,139.38
1973,FALSE,FALSE,"Hudson, Cerro","Chile",1905,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",-45.9,-72.97
1990,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1991,FALSE,TRUE,"Pinatubo","Philippines",1486,"Stratovolcano",6,350,"Many (~101 to 1000)",4,"Few (~1 to 50)",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",15.13,120.35
1992,FALSE,FALSE,"Pinatubo","Philippines",1486,"Stratovolcano",1,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",15.13,120.35
1995,FALSE,FALSE,"Fogo","Cape Verde",2829,"Stratovolcano",2,NA,"None/No Record",20,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",10,"Few (~1 to 50)",14.95,-24.35
1996,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",3,13,"Few (~1 to 50)",29,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-4.1,145.061
2000,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
2005,FALSE,FALSE,"Santa Ana","El Salvador",2365,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",13.853,-89.63
2006,TRUE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
2015,FALSE,FALSE,"Calbuco","Chile",2003,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",-41.326,-72.614
2017,FALSE,FALSE,"Campi Flegrei","Italy",458,"Caldera",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.827,14.139
2018,FALSE,FALSE,"Kadovar","Papua New Guinea",365,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-3.62,144.62
2018,FALSE,FALSE,"Ijen","Indonesia",2799,"Stratovolcano",NA,NA,"None/No Record",30,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-8.058,114.242
